1.000000000000000000e+01 1.000000000000000000e+00 9.474898576736450195e-01
1.000000000000000000e+02 1.000000000000000000e+00 1.411513566970825195e+00
1.000000000000000000e+03 1.000000000000000000e+00 1.741818547248840332e+00
1.000000000000000000e+01 1.000000000000000056e-01 1.811173319816589355e+00
1.000000000000000000e+02 1.000000000000000056e-01 2.861448287963867188e+00
1.000000000000000000e+03 1.000000000000000056e-01 3.607475519180297852e+00
1.000000000000000000e+01 1.000000000000000021e-02 2.559739589691162109e+00
1.000000000000000000e+02 1.000000000000000021e-02 4.065201282501220703e+00
1.000000000000000000e+03 1.000000000000000021e-02 4.029604434967041016e+00
1.000000000000000000e+01 1.000000000000000021e-03 2.348607063293457031e+00
1.000000000000000000e+02 1.000000000000000021e-03 3.322286367416381836e+00
1.000000000000000000e+03 1.000000000000000021e-03 4.584314823150634766e+00
1.000000000000000000e+01 1.000000000000000048e-04 2.134351253509521484e+00
1.000000000000000000e+02 1.000000000000000048e-04 2.636316537857055664e+00
1.000000000000000000e+03 1.000000000000000048e-04 5.291714191436767578e+00
